fiindex,fi_opcode,crash,benign,SDC
4656,phi,0.9,0.1,0.0
4657,getelementptr,0.6333333333333333,0.06666666666666667,0.30000000000000004
4658,bitcast,0.7,0.13333333333333333,0.16666666666666674
4659,load,0.0,0.7666666666666667,0.23333333333333328
4660,fadd,0.0,0.7666666666666667,0.23333333333333328
4661,fmul,0.0,0.7666666666666667,0.23333333333333328
4662,getelementptr,0.7666666666666667,0.06666666666666667,0.16666666666666663
4663,bitcast,0.7,0.16666666666666666,0.13333333333333341
4665,getelementptr,0.8666666666666667,0.13333333333333333,0.0
4666,bitcast,0.8333333333333334,0.1,0.06666666666666665
4668,add,0.7666666666666667,0.23333333333333334,-1.1102230246251565e-16
4669,icmp,0.0,0.43333333333333335,0.5666666666666667
4700,phi,0.8666666666666667,0.13333333333333333,0.0
4701,getelementptr,0.7333333333333333,0.03333333333333333,0.2333333333333334
4702,bitcast,0.7666666666666667,0.1,0.1333333333333333
4703,load,0.0,0.7,0.30000000000000004
4704,getelementptr,0.9,0.03333333333333333,0.06666666666666665
4705,bitcast,0.6666666666666666,0.03333333333333333,0.30000000000000004
4706,load,0.0,0.8333333333333334,0.16666666666666663
4707,fmul,0.06666666666666667,0.6666666666666666,0.2666666666666667
4708,getelementptr,0.8,0.06666666666666667,0.1333333333333333
4709,call,0.0,0.9666666666666667,0.033333333333333326
4710,fcmp,0.0,0.3333333333333333,0.6666666666666667
4711,select,0.06666666666666667,0.7333333333333333,0.20000000000000007
4712,bitcast,0.5333333333333333,0.13333333333333333,0.33333333333333337
4714,getelementptr,0.6666666666666666,0.26666666666666666,0.06666666666666676
4715,bitcast,0.8666666666666667,0.13333333333333333,0.0
4716,load,0.0,0.9333333333333333,0.06666666666666665
4717,fcmp,0.0,0.43333333333333335,0.5666666666666667
4718,select,0.0,0.9666666666666667,0.033333333333333326
4719,fcmp,0.0,0.26666666666666666,0.7333333333333334
4720,xor,0.0,1.0,0.0
4721,or,0.0,1.0,0.0
4722,extractelement,0.0,1.0,0.0
4729,extractelement,0.0,1.0,0.0
4738,add,0.9,0.03333333333333333,0.06666666666666665
4739,icmp,0.0,0.13333333333333333,0.8666666666666667
5898,phi,0.9666666666666667,0.03333333333333333,0.0
5899,getelementptr,0.9,0.0,0.09999999999999998
5900,load,0.7666666666666667,0.0,0.23333333333333328
5901,sext,0.9,0.03333333333333333,0.06666666666666665
5902,getelementptr,0.8,0.0,0.19999999999999996
5903,load,0.06666666666666667,0.5666666666666667,0.3666666666666667
5904,getelementptr,0.7333333333333333,0.06666666666666667,0.20000000000000007
5906,getelementptr,0.9,0.0,0.09999999999999998
